image_name,cycleGan_similarity,starGan_similarity1
"['372', '3e8f75752a4dea650e1b13ee007f742f6803ac98495b7b2052fc7e18.jpg']",0.966933167,0.95972363
"['429', '4bb212f76e7d3207372802f20cbf32e67bf64dbcdd6ab58c7152bba5.jpg']",0.982548266,0.912655777
"['483', '7674a7730b5b3cf0d2b48637e18730166c923983378aa96a4067a532.jpg']",0.986595442,0.957333919
"['915', '9ea8c6a566c8b3459440da067cee173a26b74f31ad0460ef2e99ae92.jpg']",0.980394556,0.954544269
"['947', '23622c530da3865264f11d1b5a319602b6f75abe8da436b5a1ae966b.jpg']",0.984014601,0.950200598
"['412', '33518416bb0dac27a2a584fb6bed98b585036437c95c9ba22d26ee5f.jpg']",0.980578962,0.942629094
"['914', '49890d68f7348ead60651ad6038c67a00f1c2d85e4cc770ddaf47636.jpg']",0.966456328,0.94980815
"['953', '7d3b1680edb1f440e56a99bfbe238019dbb792075279df2c1a4d28c8.jpg']",0.977303098,0.958094438
"['1007', '902c1e44af78abc74f8bc987bbc4eaaa776f7e481c93d836bd2b0398.jpg']",0.969190322,0.952432301
"['428', '0ea42a7d49571adb810d878eaea459e0a077dd68c2e138052f9e95aa.jpg']",0.973377884,0.927082304
"['412', '3ab1e85c72caf2beea69ea9a2a7b63777f2228735d2f497c2a4beb05.jpg']",0.962240821,0.963523098
"['1054', '91157a4e94cb1612e12804a23dbf4449fdc746835b6c17447f24348c.JPG']",0.966067347,0.923872318
"['922', '24a08c505322a6cb8430cb1451447369956f20aa9bc87066c59637df.jpg']",0.98507423,0.958674186
"['677', 'd3a2d8f306ca9dc591468e79a4a46cb18ff6ffa48e175ef0f0b44914.jpg']",0.971088194,0.942613894
"['217', '6fc3a6cac49b74f6b9498be576cf25ab294a7fc4fc0f5512ee9911be.jpg']",0.970353863,0.930878279
"['620', 'e2be71fcac1faed7aa7088b98bc1942cc087ee73e20229d0602ce7ef.jpg']",0.985529674,0.973049056
"['234', 'a7b4fa504f393c3519268d5dd754209b03fe06b4ce47441051b03187.jpg']",0.983302681,0.940665048
"['807', 'e7e556cf3c11de5d67d0e36164138ca2963eb7396bdc384565b420ab.jpg']",0.974336349,0.933650046
"['626', '9f0c991d7da87c8ac78fdb6c31f7c8d88a04b800837976a93ed431eb.jpg']",0.978224787,0.925891635
"['910', 'd2c36d28ad9d2a6f4fe3364cadbfb3f479d5b5e5117cfbab44494cd5.jpg']",0.957264408,0.948745392
"['677', '1f5c008fa51575943fcf42092e64ffe92424e1a7b1e4bcfe59e58c1d.jpg']",0.963972586,0.921954762
"['359', 'cf35d0db58395387f732fad62a04cc623365be2c6294ee2ad7d6cb98.jpg']",0.983645464,0.928316918
"['987', '501a4ce06a9fd4df513bf300e34d669a0bf897a465a70dea1a0a0e6f.png']",0.9668953,0.924391281
"['337', '1800fb5ae3854606e81e8fcd3540c210f2648677560b73dd5ac5355a.jpg']",0.983116473,0.928566631
"['344', '908b47cc547b0b5b257cf86c4e3f1bc5a49605d6e3606780fd1a0647.jpg']",0.988663032,0.974881324
"['838', 'b72dceb683fde6cf818b2f8515a888babcc9ba0084c2371ae98a9c14.jpg']",0.988190503,0.974193716
"['370', 'd051a90535844b4987e2c51a8f477b563b4894501089b83a5d96fad1.jpg']",0.961159815,0.940418679
"['663', 'c11cc406fe5e77f8d94572de958a1d406c119a80e8f2e40181e87e02.jpg']",0.978644815,0.942441144
"['928', '7db4b839ad277a59775bb886ee554e906b30e446c0cac21f04a0a7f6.jpg']",0.96711282,0.952915607
"['686', 'a370526a3ebc84ea00c5529bb977d5d02aca5d8b01d79db3fdb538cb.jpg']",0.96641633,0.923882003
"['648', 'ea5656ffb2d1bc9f86f4257506c9e86a1c8b7db7d99a3af68f9203a4.jpg']",0.981664978,0.949052687
"['498', '475b2d10dd0ad1757e4b9e32c850a635ea362981f7f7b6b4a8b7342e.jpg']",0.987179019,0.975184296
"['637', 'ca3169632a5ba7138ce8f0282fe5ae812797d324adf474e4895f13d9.jpg']",0.990945582,0.896800394
"['115', '46a817c64e3f18670d6f14f96a7e0e2d71f8ef0a717d038f2a1b6561.jpg']",0.982340021,0.912642185
