Filename,PSNR_CycleGAN,SSIM_CycleGAN,CycleGAN_Similarity,PSNR_StarGAN,SSIM_StarGAN,StarGAN_Similarity,PSNR_StarGAN1,SSIM_StarGAN1,StarGAN1_Similarity
cfa0c679da3dbe9f01e92cdeda2da1065aa50e7bf0b3990ec335f726.jpg,29.35729785,0.802972136,0.979979128,28.5565135,0.681277262,0.963372455,28.00150741,0.613182315,0.96712744
83dac9d7eec7fb0bfef79b4d35ddc69a6f7fb458d3bffc4e78f33ad9.jpg,28.70676361,0.842981735,0.965769054,28.10076791,0.674934651,0.904350888,28.01248038,0.657295077,0.920174954
0745dd0386476ae193ca709034378c9207e48ae88cc8724127e98f1b.jpg,29.04497803,0.848497138,0.973788436,28.28963435,0.711662582,0.954825832,28.3661094,0.663073332,0.973822136
2e9242f004ee675613838478fc4d2854c2e6a4406443e0d9b854f8ec.jpg,29.9344662,0.899827601,0.968487429,28.35863401,0.606162656,0.922719013,27.7264901,0.536210973,0.903278913
6bc300b2ad8cf12d92cb1f033be26adf1381b957ac196ff4ba60d44b.jpg,30.54779667,0.892366138,0.980561465,29.57601373,0.736346012,0.892450811,29.44954458,0.790955661,0.964859298
c4f8afc26d293aaebe320d74afe459a6106f19cc89723eaa9a93874d.jpg,28.92963471,0.791112103,0.970854291,28.38294001,0.695503592,0.918807671,28.26632571,0.676659881,0.972275027
8074ac2088332aa569b5b2abb02d963b41b99eb985dd31bdee881586.jpg,28.26904121,0.447019805,0.984016661,28.98946599,0.41947363,0.9319271,28.86491023,0.388522097,0.970617492
218318ae092e2debd4f7f0c571cad790d391353490fbf7441fccd906.jpg,29.10357313,0.717269193,0.984705431,28.08529632,0.603032537,0.940306498,27.80245439,0.57753239,0.957321445
ee7d79554e79df1aa460bcfd60c89757d0bafe6bebea035330926aa1.jpg,32.26768043,0.902430728,0.984437967,28.74322086,0.803811044,0.954468775,28.51905367,0.803299108,0.95216183
263169de35771d1aea0898aa5e98793a1a17abcdd574153b9baaefd6.jpg,28.74863119,0.812832414,0.967185204,28.36377166,0.74942396,0.923556332,27.90605792,0.638266126,0.956001707
